captured_at,store,country,group,term,rank,result_count,truncated,status,name_match_top5,top3_1,top3_2,top3_3,error
2026-08-13T02:01:00Z,appstore,US,subject,orchard map,,149,false,absent,0.2,FruitForest: Orchard Mapping,Gilcrease Orchard,Tractor GPS - Field Guidance,
2026-08-13T02:01:00Z,appstore,US,subject,home orchard,107,163,false,ranked,0.0,Rafter Home,Gilcrease Orchard,Home AI: Room & Garden Design,
2026-08-13T02:01:00Z,appstore,US,subject,backyard orchard,152,169,false,ranked,0.0,Backyard Master,Gilcrease Orchard,Seed to Spoon - Garden Planner,
2026-08-13T02:01:00Z,appstore,US,subject,permaculture,107,161,false,ranked,0.4,Discover Permaculture,Permaculture.,Farm Your Yard: Gardening App,
2026-08-13T02:01:00Z,appstore,US,brand,treesmith,1,161,false,ranked,0.2,TreeSmith,Idle Lumber Empire - Wood Game,Cutting Tree,
2026-08-13T02:01:00Z,appstore,US,brand,tree smith,1,125,false,ranked,0.2,TreeSmith,Christmas Tree Puzzles,Forest Tree Identifier,
2026-08-13T02:55:00Z,play,AU,niche_tracker,fruit tree tracker,1,30,true,ranked,,app.treesmith,com.zht.fruit_trees,org.greenstand.android.TreeTracker,
2026-08-13T02:55:00Z,play,AU,niche_tracker,orchard tracker,,12,false,absent,,com.habadigital.obstgarten,com.theorchard.OrchardGo,com.orchardthieves,
2026-08-13T02:55:00Z,play,AU,niche_tracker,tree tracker,3,30,true,ranked,,org.greenstand.android.TreeTracker,org.treeo.treeo,app.treesmith,
2026-08-13T02:55:00Z,play,AU,niche_tracker,graft tracker,1,30,true,ranked,,app.treesmith,com.cibiltech.ptg.graftCare,me.cfs.chronic.fatigue.syndrome.pacing.diary.tracker,
2026-08-13T02:55:00Z,play,AU,niche_tracker,grafting tracker,1,30,true,ranked,,app.treesmith,com.dreamteammobile.tagtracker,me.cfs.chronic.fatigue.syndrome.pacing.diary.tracker,
2026-08-13T02:55:00Z,play,AU,niche_tracker,bonsai tracker,,30,true,absent_window_capped,,app.bonsaicare,com.jooni.app,com.coddykit.bonsaicare,
2026-08-13T02:55:00Z,play,AU,niche_tracker,citrus tracker,,30,true,absent_window_capped,,com.wemagineai.citrus,com.boxnbiz.citrusfreight,com.dub.app.citruscollege,
2026-08-13T02:55:00Z,play,AU,niche_tracker,propagation tracker,,29,false,absent,,ua.rv.sashko.hf_propagation,jp.moo.myworks.progressofproject,amar.progress,
2026-08-13T02:55:00Z,play,AU,niche_tracker,seedling tracker,,30,true,absent_window_capped,,us.seedtime.app,com.sochitieu.app,ro.crxapps.seedling,
2026-08-13T02:55:00Z,play,AU,niche_tracker,harvest tracker,,30,true,absent_window_capped,,com.harvestapp,com.nplglobalappdev.nplshare,com.topcon.harvestTrackerLite,
2026-08-13T02:55:00Z,play,AU,broad,plant tracker,,30,true,absent_window_capped,,com.potally.app,com.plantparentai.app,com.devjah.plants,
2026-08-13T02:55:00Z,play,AU,broad,garden journal,,27,false,absent,,com.perculacreative.peter.gardenplanner,com.sevelina.garden.planner.scheduler.help,us.seedtime.app,
2026-08-13T02:55:00Z,play,AU,broad,garden planner,,20,false,absent,,com.perculacreative.peter.gardenplanner,org.alphabeet.app,us.seedtime.app,
2026-08-13T02:55:00Z,play,AU,broad,plant log,,30,true,absent_window_capped,,com.plantlog.plantlog,com.mirkaeraketo.plantdiary,com.devjah.plants,
2026-08-13T02:55:00Z,play,AU,broad,garden diary,,29,false,absent,,com.perculacreative.peter.gardenplanner,com.sevelina.garden.planner.scheduler.help,com.mirkaeraketo.plantdiary,
2026-08-13T02:55:00Z,play,AU,broad,garden log,,30,true,absent_window_capped,,com.perculacreative.peter.gardenplanner,com.mg.mygarden,us.seedtime.app,
2026-08-13T02:55:00Z,play,AU,broad,plant inventory,,21,false,absent,,com.mirkaeraketo.plantdiary,com.devjah.plants,org.plantnet,
2026-08-13T02:55:00Z,play,AU,broad,plant collection,,23,false,absent,,cn.danatech.xingseus,greg.io.care_app_android,com.kongregate.mobile.pocketplants.google,
2026-08-13T02:55:00Z,play,AU,broad,plant catalogue,,12,false,absent,,com.mirkaeraketo.plantdiary,greg.io.care_app_android,cn.danatech.xingseus,
2026-08-13T02:55:00Z,play,AU,broad,plant database,,24,false,absent,,cn.danatech.xingseus,org.plantnet,com.stevelib.thetortoisetable,
2026-08-13T02:55:00Z,play,AU,broad,garden mapping,,29,false,absent,,com.perculacreative.peter.gardenplanner,org.alphabeet.app,com.fate.gardenAi2,
2026-08-13T02:55:00Z,play,AU,broad,plant care,,30,true,absent_window_capped,,com.plantparentai.app,com.stromming.planta,me.jodoin.aiplantdoctor,
2026-08-13T02:55:00Z,play,AU,subject,fruit tree,2,30,true,ranked,,com.PlayMore.FruitTree,app.treesmith,com.zht.fruit_trees,
